area_id,datetime,humidity,temprature
5002268,20240611,78.75,27.5
5002268,20240612,83.75,26.5
5002268,20240613,83.75,27.0
5002269,20240611,80.0,27.25
5002269,20240612,86.25,24.25
5002269,20240613,88.75,24.25
5002270,20240611,78.75,27.0
5002270,20240612,83.75,26.25
5002270,20240613,82.5,26.0
5002271,20240611,78.75,27.75
5002271,20240612,83.75,25.75
5002271,20240613,86.25,25.5
5002272,20240611,80.0,27.0
5002272,20240612,83.75,26.5
5002272,20240613,82.5,26.0
501272,20240611,75.0,28.0
501272,20240612,80.0,27.5
501272,20240613,83.75,27.25
501273,20240611,76.25,27.75
501273,20240612,81.25,26.75
501273,20240613,85.0,26.25
501274,20240611,88.75,21.25
501274,20240612,92.5,20.5
501274,20240613,93.75,21.0
501275,20240611,75.0,28.0
501275,20240612,83.75,25.5
501275,20240613,86.25,25.5
501277,20240611,75.0,27.75
501277,20240612,83.75,26.5
501277,20240613,85.0,26.75
501278,20240611,78.75,27.5
501278,20240612,85.0,26.0
501278,20240613,82.5,25.75
501279,20240611,75.0,28.0
501279,20240612,80.0,28.25
501279,20240613,85.0,27.5
501280,20240611,76.25,27.75
501280,20240612,81.25,26.75
501280,20240613,91.25,23.75
501281,20240611,75.0,28.25
501281,20240612,83.75,26.5
501281,20240613,87.5,26.25
501282,20240611,75.0,28.25
501282,20240612,80.0,27.75
501282,20240613,76.25,28.0
501284,20240611,78.75,26.75
501284,20240612,85.0,24.5
501284,20240613,87.5,24.75
501285,20240611,75.0,27.5
501285,20240612,83.75,26.75
501285,20240613,83.75,27.25
501286,20240611,76.25,27.75
501286,20240612,81.25,26.5
501286,20240613,85.0,26.0
501287,20240611,76.25,28.25
501287,20240612,80.0,27.75
501287,20240613,81.25,28.0
501288,20240611,80.0,27.5
501288,20240612,85.0,25.75
501288,20240613,82.5,27.0
501289,20240611,81.25,27.25
501289,20240612,85.0,26.0
501289,20240613,88.75,26.25
501290,20240611,76.25,26.75
501290,20240612,82.5,25.25
501290,20240613,86.25,25.25
501291,20240611,75.0,28.25
501291,20240612,82.5,26.75
501291,20240613,82.5,27.25
501293,20240611,76.25,28.25
501293,20240612,83.75,26.25
501293,20240613,83.75,26.5
501294,20240611,76.25,28.25
501294,20240612,80.0,27.0
501294,20240613,82.5,27.25
501295,20240611,76.25,28.0
501295,20240612,83.75,27.5
501295,20240613,85.0,27.25
501296,20240611,75.0,28.0
501296,20240612,82.5,27.0
501296,20240613,83.75,27.25
501297,20240611,75.0,28.0
501297,20240612,80.0,28.5
501297,20240613,85.0,27.75
501299,20240611,76.25,28.25
501299,20240612,81.25,27.25
501299,20240613,83.75,27.0
501300,20240611,75.0,28.0
501300,20240612,83.75,28.25
501300,20240613,83.75,28.25
501302,20240611,75.0,28.0
501302,20240612,82.5,27.5
501302,20240613,82.5,27.25
501303,20240611,75.0,28.0
501303,20240612,81.25,27.5
501303,20240613,83.75,27.0
501304,20240611,75.0,28.25
501304,20240612,87.5,26.0
501304,20240613,83.75,25.75
501305,20240611,75.0,28.0
501305,20240612,82.5,27.0
501305,20240613,83.75,27.25
501306,20240611,75.0,28.25
501306,20240612,81.25,28.25
501306,20240613,85.0,28.0
501307,20240611,78.75,27.5
501307,20240612,87.5,24.5
501307,20240613,88.75,24.75
501308,20240611,78.75,27.75
501308,20240612,83.75,26.75
501308,20240613,85.0,27.25
501309,20240611,78.75,28.25
501309,20240612,81.25,26.5
501309,20240613,85.0,26.5
